iso3,region
CAN,nordic_european_countries_and_canada
DNK,nordic_european_countries_and_canada
FIN,nordic_european_countries_and_canada
ISL,nordic_european_countries_and_canada
NOR,nordic_european_countries_and_canada
SWE,nordic_european_countries_and_canada
ALB,europe_except_nordic_countries
AUT,europe_except_nordic_countries
BEL,europe_except_nordic_countries
BGR,europe_except_nordic_countries
BIH,europe_except_nordic_countries
BLR,europe_except_nordic_countries
CYP,europe_except_nordic_countries
CZE,europe_except_nordic_countries
DEU,europe_except_nordic_countries
ESP,europe_except_nordic_countries
EST,europe_except_nordic_countries
FRA,europe_except_nordic_countries
GBR,europe_except_nordic_countries
GRC,europe_except_nordic_countries
HRV,europe_except_nordic_countries
HUN,europe_except_nordic_countries
IRL,europe_except_nordic_countries
ITA,europe_except_nordic_countries
XKX,europe_except_nordic_countries
LTU,europe_except_nordic_countries
LUX,europe_except_nordic_countries
LVA,europe_except_nordic_countries
MDA,europe_except_nordic_countries
MKD,europe_except_nordic_countries
MNE,europe_except_nordic_countries
NLD,europe_except_nordic_countries
POL,europe_except_nordic_countries
PRT,europe_except_nordic_countries
ROU,europe_except_nordic_countries
SRB,europe_except_nordic_countries
SVK,europe_except_nordic_countries
SVN,europe_except_nordic_countries
UKR,europe_except_nordic_countries
USA,australia_new_zealand_usa
ARG,latin_america_africa
BFA,latin_america_africa
BOL,latin_america_africa
BRA,latin_america_africa
CAF,latin_america_africa
CHL,latin_america_africa
CIV,latin_america_africa
CMR,latin_america_africa
COL,latin_america_africa
CRI,latin_america_africa
DOM,latin_america_africa
ECU,latin_america_africa
EGY,latin_america_africa
GHA,latin_america_africa
GIN,latin_america_africa
GTM,latin_america_africa
HND,latin_america_africa
KEN,latin_america_africa
LBR,latin_america_africa
MAR,latin_america_africa
MDG,latin_america_africa
MEX,latin_america_africa
MLI,latin_america_africa
MOZ,latin_america_africa
MRT,latin_america_africa
MWI,latin_america_africa
NER,latin_america_africa
NGA,latin_america_africa
NIC,latin_america_africa
PAN,latin_america_africa
PER,latin_america_africa
PRY,latin_america_africa
SDN,latin_america_africa
SLV,latin_america_africa
SWZ,latin_america_africa
TZA,latin_america_africa
UGA,latin_america_africa
URY,latin_america_africa
VEN,latin_america_africa
ZAF,latin_america_africa
COD,latin_america_africa
ARM,asia
AZE,asia
BGD,asia
BTN,asia
CHN,asia
GEO,asia
IND,asia
IRN,asia
IRQ,asia
ISR,asia
JOR,asia
JPN,asia
KAZ,asia
KGZ,asia
KHM,asia
KOR,asia
LAO,asia
LKA,asia
MNG,asia
MYS,asia
NPL,asia
PAK,asia
RUS,asia
SYR,asia
THA,asia
TJK,asia
TUR,asia
TWN,asia
VNM,asia
PSE,asia
YEM,asia
FJI,asia
IDN,asia
PHL,asia
TLS,asia
